name,backend,device,n_denoising_steps,avg_ms,std_ms,p95_ms,min_ms,max_ms,max_hz,pred_per_s
ACT,openvino,CPU,N/A,16.787488628178835,0.12631897250907523,16.966004204005003,16.53992384672165,17.451155930757523,59.56817140125643,59.56528343416349
ACT,openvino,GPU,N/A,22.116351816803217,0.08104988751460744,22.247155103832483,21.941620856523514,22.303715348243713,45.215413838743316,45.21233983349371
ACT,torch,CPU,N/A,28.873247113078833,3.5471031011763716,33.2185760140419,25.152139365673065,33.532774075865746,34.634137133368206,34.6821677900271
ACT,torch,GPU,N/A,12.165978625416756,1.2750704190780353,13.61447712406516,10.839385911822319,15.551524236798286,82.19642913976796,82.2896428754072
SmolVLA,openvino,CPU,10,744.3952341005206,39.616605239665894,796.1682746186852,712.0471075177193,797.153877094388,1.3433723836347982,1.328585117846696
SmolVLA,torch,CPU,10,2745.7732238434255,22.627941974020334,2782.170314807445,2708.443244919181,2853.5666093230247,0.36419613656230476,0.36432376681571077
SmolVLA,torch,GPU,10,256.1332090757787,2.98450822272625,259.3381078913808,246.74982950091362,274.19608645141125,3.9042184479254436,3.903156355709557
Pi0.5,openvino,CPU,10,4065.1337374933064,4.414682797076954,4069.85905142501,4054.486833512783,4085.256127640605,0.24599436687085047,0.24588071857740237
Pi0.5,openvino,GPU,10,7777.812959626317,3.362156859485908,7782.217020820826,7770.032601431012,7793.467044830322,0.128570846996563,0.12854721189125823
Pi0.5,torch,CPU,10,32248.691489994526,374.3160617987274,32915.46480478719,31758.190728724003,33427.219016477466,0.03100901009612312,0.030440716853538156
Pi0.5,torch,GPU,10,365.30747566372156,3.6492117923777374,370.41104808449745,355.35611771047115,375.42238645255566,2.7374200272882874,2.7368858695305547
